BJD,Flux,Flux_unc
1712.2640698871594,152329.72,44.696865
1712.2654587759102,152354.52,44.70649
1712.2668476646597,152456.53,44.739403
1712.2682365534095,152401.75,44.70815
1712.2696254421596,152291.8,44.6865
1712.2710143309098,152468.33,44.71059
1712.2724032196593,152469.62,44.720455
1712.2737921084088,152406.23,44.701145
1712.2751809971599,152435.2,44.710358
1712.2765698859107,152435.36,44.73815
1712.2779587746602,152377.4,44.705753
1712.2793476636425,152352.52,44.72253
1712.280736552393,152467.56,44.702118
1712.282125441143,152387.88,44.71038
1712.2835143298926,152433.31,44.72151
1712.284903218642,152450.4,44.71852
1712.2862921071594,152452.17,44.722027
1712.2876809959105,152390.03,44.720238
1712.2890698846606,152365.5,44.67367
1712.2904587734101,152420.72,44.70661
1712.2918476621603,152341.1,44.720463
1712.2932365509107,152429.64,44.72162
1712.2946254396602,152408.88,44.719334
1712.2960143284097,152371.23,44.71266
1712.2974032171599,152378.36,44.710262
1712.29879210591,152407.88,44.724583
1712.3001809946604,152429.78,44.724815
1712.3015698834106,152402.47,44.717987
1712.3029587721608,152525.98,44.72539
1712.3043476606783,152350.72,44.713512
1712.3057365494278,152346.22,44.706604
1712.3071254381773,152405.05,44.70785
1712.3085143269275,152437.3,44.70822
1712.3099032156777,152402.62,44.707928
1712.3112921044287,152462.98,44.712753
1712.312680992946,152393.16,44.708282
1712.3140698816956,152368.8,44.71147
1712.3154587704457,152459.69,44.7141
1712.3168476591961,152367.38,44.69433
1712.3182365479456,152332.36,44.698757
1712.3196254364623,152322.88,44.70455
1712.3210143252124,152407.5,44.72539
1712.3224032139626,152365.88,44.706993
1712.323792102713,152388.44,44.706543
1712.3251809912304,152383.45,44.718697
1712.3265698799805,152395.89,44.715115
1712.3279587687307,152428.17,44.71806
1712.3293476572474,152462.33,44.70984
1712.330736545997,152354.8,44.708206
1712.3321254347472,152433.67,44.673977
1712.3335143232646,152390.11,44.70111
1712.3349032120143,152377.44,44.709114
1712.3362921007645,152545.55,44.732265
1712.3376809892825,152351.88,44.687225
1712.3390698780327,152404.33,44.715515
1712.3404587667821,152415.67,44.707684
1712.341847655299,152467.06,44.712536
1712.3432365440492,152400.27,44.717552
1712.3446254327994,152330.66,44.699245
1712.346014321316,152477.38,44.71135
1712.3474032100655,152462.52,44.741215
1712.3487920985838,152461.27,44.719143
1712.3501809873346,152430.2,44.7221
1712.351569876084,152323.61,44.70062
1712.352958764601,152389.97,44.7139
1712.3543476533512,152385.03,44.722588
1712.3557365418685,152373.11,44.71099
1712.357125430618,152586.61,44.716236
1712.3585143191347,152429.45,44.71822
1712.3599032078857,152361.11,44.690975
1712.3612920964038,152381.9,44.699486
1712.3626809851532,152470.62,44.73215
1712.36406987367,152372.34,44.71683
1712.3654587624203,152525.56,44.747272
1712.3668476509376,152451.38,44.72619
1712.3682365396871,152418.44,44.732254
1712.3696254282038,152418.06,44.714443
1712.371014316954,152444.9,44.73039
1712.3724032054722,152470.8,44.736088
1712.3737920942224,152480.72,44.709595
1712.375180982739,152570.31,44.728542
1712.3765698712566,152392.19,44.70701
1712.3779587600068,152514.88,44.742367
1712.3793476485234,152330.45,44.71864
1712.380736537273,152478.69,44.725864
1712.3821254257903,152461.33,44.724995
1712.3835143143076,152441.22,44.729984
1712.384903203058,152418.84,44.722233
1712.3862920915753,152485.78,44.72832
1712.3876809800927,152406.7,44.730473
1712.389069868843,152419.48,44.728626
1712.3904587573597,152487.7,44.72998
1712.3918476461092,152494.83,44.755898
1712.3932365346266,152449.38,44.723362
1712.394625423144,152390.62,44.726887
1712.3960143116608,152437.05,44.74699
1712.397403200411,152403.78,44.725002
1712.398792088929,152424.47,44.733704
1712.4001809774463,152421.38,44.728294
1712.4015698661958,152424.95,44.732693
1712.4029587547127,152566.19,44.75504
1712.40434764323,152605.88,44.73862
1712.4057365317474,152584.2,44.737553
1712.407125420497,152558.58,44.740017
1712.4085143090144,152550.02,44.742104
1712.4099031975325,152449.11,44.722664
